#{"t_start": 1763845434.2315786, "env_id": "None"}
r,l,t
-5.145,8,3534.269148
4.86,7,3534.293934
4.865,7,3534.322521
4.38,31,3534.425998
4.145,43,3534.571587
4.865,7,3534.597477
4.855,8,3534.626043
4.87,7,3534.648922
4.175,42,3534.79172
4.2,40,3534.927683
-5.305,16,3534.981045
-5.83,42,3535.12079
-5.34,17,3535.178166
-5.46,23,3535.253083
-5.155,8,3535.284055
-0.725,37,3535.411923
-5.385,20,3535.477184
4.405,30,3535.578014
4.745,13,3535.626233
4.86,7,3535.650802
-5.16,8,3535.681545
-5.265,14,3535.730529
-5.565,29,3535.835595
4.57,22,3535.913219
-5.29,15,3535.96596
3.675,67,3536.206097
-5.715,36,3536.354231
3.94,53,3536.547354
-5.325,17,3536.610175
-5.435,22,3536.694537
4.59,21,3536.767683
4.51,25,3536.857787
-5.6,30,3536.965044
4.06,47,3537.140481
-5.39,20,3537.208317
-5.265,14,3537.256073
4.265,37,3537.375892
-5.135,7,3537.400967
-5.49,25,3537.485467
4.36,32,3537.59729
-6.1,55,3537.778391
4.85,8,3537.80499
4.87,7,3537.828821
-6.14,57,3538.025985
-5.305,16,3538.08195
-5.275,14,3538.130117
4.505,25,3538.235045
4.355,33,3538.362652
4.52,24,3538.449924
4.29,36,3538.574325
-5.225,12,3538.619917
4.35,33,3538.745105
4.395,31,3538.860331
3.76,62,3539.074711
-5.62,31,3539.182336
-5.25,13,3539.22622
4.105,45,3539.383592
-5.37,19,3539.451133
-5.46,23,3539.536491
3.805,60,3539.745297
-5.315,16,3539.798717
-5.5,25,3539.882066
4.895,6,3539.903059
4.845,8,3539.93028
4.4,30,3540.029986
3.78,61,3542.237756
3.84,58,3542.435018
4.535,24,3542.516722
-6.025,52,3542.694884
-5.45,23,3542.77051
-5.385,20,3542.847014
-5.605,31,3542.975608
4.33,34,3543.089331
3.855,58,3543.285988
4.83,9,3543.315912
4.27,37,3543.451497
4.535,24,3543.533507
4.2,40,3543.66743
4.145,43,3543.819088
-5.29,15,3543.871706
4.47,27,3543.960386
-6.52,76,3544.212012
3.795,61,3544.416639
-5.46,23,3544.490936
-5.27,14,3544.539604
3.715,65,3544.781047
-5.77,39,3544.905327
-5.265,14,3544.953092
3.62,69,3545.19981
4.49,26,3545.293278
4.87,7,3545.317364
4.165,42,3545.46195
4.395,31,3545.57523
3.715,65,3545.795989
3.985,51,3545.96675
-5.49,25,3546.055635
4.85,8,3546.081845
4.88,6,3546.102336
4.305,35,3546.216878
4.165,42,3546.357037
4.865,7,3546.382771
4.585,21,3546.452888
4.875,7,3546.476228
4.845,8,3546.504273
3.89,56,3546.697379
4.59,21,3546.77562
-6.225,62,3546.979968
3.605,70,3547.218414
4.605,20,3547.285457
-5.61,31,3547.388347
-5.3,15,3547.445095
-5.615,31,3547.554708
3.87,57,3547.745235
3.845,58,3547.95412
-6.23,62,3548.161963
3.83,59,3548.352556
4.34,33,3548.461545
-5.515,26,3548.55005
4.43,29,3548.645553
-5.55,28,3548.734863
4.6,20,3548.805176
-5.645,33,3548.910167
-5.39,20,3548.976659
4.605,20,3549.048026
-5.34,17,3549.107549
-5.4,20,3551.720326
-5.41,21,3551.795658
-5.57,29,3551.89192
-5.445,23,3551.968387
4.225,39,3552.11221
-5.58,29,3552.212645
4.615,20,3552.280296
-5.535,27,3552.369405
-6.25,63,3552.582854
-5.34,17,3552.643667
-5.365,19,3552.714597
-5.285,15,3552.764221
3.735,64,3552.976277
-5.45,23,3553.054455
4.325,34,3553.166267
3.75,63,3553.366591
4.36,32,3553.468267
-6.245,63,3553.671897
4.26,37,3553.792011
4.855,8,3553.818074
3.67,67,3554.029356
-5.48,24,3554.110062
4.42,29,3554.212266
4.43,29,3554.312199
4.375,32,3554.424307
-5.41,21,3554.497594
4.445,28,3554.59221
4.57,22,3554.668526
-5.47,24,3554.746035
-5.485,25,3554.829975
-5.455,23,3554.922892
-6.355,68,3555.282584
-5.445,23,3555.359593
4.395,31,3555.461792
-5.525,27,3555.555458
4.47,27,3555.648225
-5.455,23,3555.728134
-5.375,19,3555.790005
-5.52,26,3555.885556
4.875,7,3555.909024
-5.215,11,3555.948727
-5.345,18,3556.006588
4.465,27,3556.102199
4.635,19,3556.16753
-5.675,34,3556.285752
4.38,31,3556.396287
3.775,62,3556.618943
4.525,24,3556.705322
4.815,10,3556.737299
-5.305,16,3556.789239
-5.43,22,3556.862333
-5.495,25,3556.946038
-5.19,10,3556.979155
4.885,6,3557.001071
-5.415,21,3557.0714
-5.54,27,3557.161296
-5.64,32,3557.26322
4.87,7,3557.288151
-5.44,22,3557.362755
4.51,25,3557.444249
-5.5,25,3557.528585
-5.185,10,3557.561071
3.83,59,3557.759152
-5.745,38,3557.885998
4.415,30,3557.988068
4.51,25,3558.070286
-5.8,40,3558.206649
-5.32,16,3558.26005
4.145,43,3558.408954
3.74,63,3558.61293
3.845,58,3561.590751
4.86,7,3561.618167
4.875,7,3561.644636
-5.425,22,3561.741108
4.53,24,3561.828566
-5.435,22,3561.922216
4.635,19,3562.000315
4.37,32,3562.120963
-5.455,23,3562.196739
-5.43,22,3562.266519
-6.33,67,3562.510386
-5.4,20,3562.610117
4.455,28,3562.726606
4.12,44,3562.891693
4.88,6,3562.913081
-5.47,24,3562.99317
4.025,49,3563.162908
-5.45,23,3563.250134
4.18,41,3563.408624
-5.48,24,3563.49179
3.785,61,3563.722022
4.435,29,3563.839415
4.125,44,3563.998166
4.595,21,3564.071592
-5.455,23,3564.154253
-5.37,19,3564.222074
4.57,22,3564.302037
3.745,63,3564.541635
-5.365,19,3564.615277
4.895,6,3564.639653
-6.315,66,3564.889448
4.825,9,3564.923434
4.195,41,3565.075049
-5.225,12,3565.114259
-5.445,23,3565.196035
-5.72,36,3565.31798
-5.435,22,3565.39238
-5.705,36,3565.517108
4.185,41,3565.659154
4.565,22,3565.729905
-5.235,12,3565.76892
-5.49,25,3565.874006
-5.955,48,3566.068132
3.645,68,3566.669954
-5.535,27,3566.769851
-6.255,63,3567.078317
3.64,68,3567.339373
4.39,31,3567.463619
3.655,68,3567.728161
-5.27,14,3567.775458
4.38,31,3567.894644
-5.265,14,3567.948059
-6.25,63,3568.223743
-5.305,16,3568.291047
-5.395,20,3568.371425
4.61,20,3568.445308
4.45,28,3568.553104
-5.255,13,3568.603369
3.815,60,3568.822048
4.88,6,3568.850227
4.545,23,3568.943701
4.17,42,3569.087634
4.88,6,3569.112713
4.6,20,3569.182091
-5.72,36,3569.314296
4.81,10,3569.350265
4.63,19,3569.415224
3.815,60,3572.382108
4.875,7,3572.408985
4.88,6,3572.430821
-6.33,67,3572.676369
4.41,30,3572.805775
-5.37,19,3572.880972
-5.595,30,3572.988292
4.175,42,3573.139586
-5.645,33,3573.259514
3.655,68,3573.514009
-5.325,17,3573.571506
4.385,31,3573.165226
3.85,58,3573.364814
-5.285,15,3573.429593
-5.45,23,3573.518761
3.72,64,3573.751588
4.185,41,3573.897607
4.32,34,3574.020835
-5.345,18,3574.083488
3.875,57,3574.300891
4.58,21,3574.374192
-5.385,20,3574.441534
-6.4,70,3574.732636
4.86,7,3574.759587
4.6,20,3574.840437
-5.535,27,3574.943125
-5.41,21,3575.01841
-5.6,30,3575.126789
-5.48,24,3575.210072
3.915,55,3575.4141
-5.405,21,3575.504891
-5.595,30,3575.620625
4.43,29,3575.733377
-5.42,21,3575.812078
4.385,31,3575.926128
-5.445,23,3576.022887
4.465,27,3576.126341
4.86,7,3576.154893
4.485,26,3576.249909
4.435,29,3576.365814
-6.135,57,3576.585796
-5.365,19,3576.652416
4.585,21,3576.729984
4.545,23,3576.818638
-5.59,30,3576.950601
-5.485,25,3577.041679
-5.335,17,3577.104795
4.855,8,3577.134381
-6.345,68,3577.384666
4.86,7,3577.410099
-5.135,7,3577.435421
-5.375,19,3577.512421
-5.395,20,3577.588243
4.88,6,3577.614331
4.12,44,3577.773952
3.945,53,3577.982075
4.05,48,3578.15532
-5.605,31,3578.27372
-5.495,25,3578.361045
-5.505,26,3578.460782
-5.365,19,3578.534782
-5.52,26,3578.634068
3.41,80,3578.924183
3.81,60,3579.139816
4.395,31,3579.264966
4.85,8,3579.294863
4.345,33,3579.416592
-5.31,16,3579.474758
-5.17,9,3579.506561
-5.415,21,3582.182389
-5.645,33,3582.301979
4.64,18,3582.365318
3.995,51,3582.550535
-5.48,24,3582.638587
-5.54,27,3582.733305
3.8,60,3582.95382
4.345,33,3583.072493
4.16,42,3583.222677
-5.52,26,3583.309669
4.58,21,3583.385249
-5.375,19,3583.45926
-5.48,24,3583.544168
4.315,35,3583.656855
4.18,41,3583.804972
-5.41,21,3583.885128
-5.47,24,3583.966356
-5.14,7,3583.994767
4.37,32,3584.1035
-5.42,21,3584.172787
4.555,23,3584.253108
3.715,65,3584.479661
3.44,78,3584.749221
-5.41,21,3584.821905
-6.275,64,3585.051442
4.61,20,3585.128146
-5.305,16,3585.180675
4.63,19,3585.244245
-5.395,20,3585.30955
-6.225,62,3585.523431
4.545,23,3585.620805
-5.35,18,3585.687737
3.69,66,3585.958364
3.79,61,3586.202014
-5.25,13,3586.254961
4.87,7,3586.282318
-5.165,9,3586.320699
4.285,36,3586.454363
-5.99,50,3586.634904
4.205,40,3586.778254
-5.375,19,3586.846701
-6.11,56,3587.043871
4.335,34,3587.161548
-5.315,16,3587.222265
-5.385,20,3587.291382
-5.37,19,3587.356384
3.95,53,3587.540735
-5.84,42,3587.695788
-5.44,22,3587.774949
-5.825,42,3587.919404
-6.37,69,3588.184937
4.385,31,3588.319554
4.045,48,3588.513651
4.235,39,3588.668045
-5.39,20,3588.737561
4.26,37,3588.957192
4.4,30,3589.096677
-6.39,70,3589.40192
4.815,10,3589.448503
4.605,20,3589.539932
4.87,7,3589.565831
4.075,47,3589.735723
3.75,63,3594.178789
3.89,56,3594.368778
-5.51,26,3594.455875
4.13,44,3594.597798
-5.145,8,3594.626699
4.395,31,3594.734274
4.895,6,3594.757577
4.88,6,3594.779194
4.605,20,3594.842552
4.555,23,3594.919065
4.405,30,3595.018245
-5.175,9,3595.047542
4.195,41,3595.179035
4.15,43,3595.316513
-6.42,71,3595.561367
4.255,38,3595.683459
-5.29,15,3595.73595
-5.16,8,3595.763375
3.615,70,3595.983056
4.56,22,3596.061942
3.715,65,3596.28912
4.515,25,3596.369048
4.53,24,3596.457643
-6.4,70,3596.69739
-6.545,78,3596.962863
4.55,23,3597.037174
-6.33,67,3597.247095
-5.28,14,3597.2996
4.365,32,3597.401437
4.295,36,3597.512723
3.855,58,3597.703121
-5.315,16,3597.760094
-5.45,23,3597.836123
-5.185,10,3597.870013
3.71,65,3598.074313
4.445,28,3598.167775
4.18,41,3598.309949
-5.755,38,3598.431242
4.82,9,3598.461593
4.335,34,3598.573963
4.365,32,3598.723674
4.355,33,3598.868774
4.55,23,3598.9872
-5.465,24,3599.092216
4.855,8,3599.132248
-5.36,18,3599.222205
4.385,31,3599.375873
-5.165,9,3599.414016
3.97,52,3599.625386
-5.405,21,3599.708815
4.145,43,3599.902808
-5.61,31,3600.035341
-5.13,7,3600.066611
-5.355,18,3600.143216
-5.59,30,3600.302758
-5.34,17,3600.378334
4.55,23,3600.471287
4.535,24,3600.606028
-5.405,21,3600.792884
3.965,52,3601.031357
4.655,18,3601.110841
-5.285,15,3601.19285
3.665,67,3601.491539
-5.23,12,3601.552154
4.38,31,3601.667911
-5.31,16,3604.446797
4.54,23,3604.535009
-5.375,19,3604.614833
4.87,7,3604.642893
3.82,59,3604.864682
4.35,33,3604.993764
4.88,6,3605.019265
-5.625,32,3605.147646
-5.98,49,3605.33039
-5.545,28,3604.890347
4.56,22,3604.967648
-6.39,70,3605.215435
4.56,22,3605.289234
-6.19,60,3605.488317
-5.465,24,3605.584006
4.63,19,3605.652164
-1.46,73,3605.931349
4.88,6,3605.951092
-5.615,31,3606.057727
-5.825,42,3606.199962
-5.495,25,3606.282945
3.52,74,3606.566122
-6.015,51,3606.739962
-5.515,26,3606.827668
-5.3,15,3606.878449
-5.4,20,3606.942986
-5.265,14,3606.992954
3.765,62,3607.198459
-5.31,16,3607.253661
-5.495,25,3607.335835
4.895,6,3607.357389
-5.345,18,3607.415523
4.42,29,3607.516344
3.715,65,3607.737324
4.86,7,3607.763834
4.39,31,3607.871538
4.605,20,3607.937523
-5.27,14,3607.986824
-5.49,25,3608.067853
4.51,25,3608.147351
4.4,30,3608.248045
4.35,33,3608.360346
4.84,8,3608.392719
4.88,6,3608.41505
-5.565,29,3608.513587
4.605,20,3608.59075
-5.155,8,3608.62208
-5.32,16,3608.682048
4.55,23,3608.765535
-5.395,20,3608.933443
4.12,44,3609.152883
-5.515,26,3609.258909
-5.435,22,3609.333686
-5.31,16,3609.392366
3.77,62,3609.603788
4.465,27,3609.691983
4.29,36,3609.809226
-5.61,31,3610.062113
3.79,61,3610.30216
4.14,43,3610.452157
4.31,35,3610.573101
4.335,34,3610.697772
4.31,35,3610.827456
4.57,22,3610.924107
-6.375,69,3611.204237
4.87,7,3611.230565
-5.425,22,3611.305949
-5.355,18,3611.371367
4.525,24,3611.454761
-5.28,14,3611.501511
-6.32,66,3614.386446
4.86,7,3614.414297
3.66,67,3614.66003
4.17,42,3614.803377
-5.46,23,3614.893814
-5.51,26,3614.995764
4.325,34,3615.132285
-5.795,40,3615.290015
-5.495,25,3615.389022
3.835,59,3615.62382
4.865,7,3615.653375
3.89,56,3615.875055
3.845,58,3616.109677
-5.405,21,3616.193287
4.86,7,3616.225711
-6.505,76,3616.514437
4.495,26,3616.619498
4.865,7,3616.646124
4.855,8,3616.672276
4.855,8,3616.702606
4.44,28,3616.807656
-5.255,13,3616.864147
4.81,10,3616.905223
4.395,31,3617.031446
-5.425,22,3617.110827
3.99,51,3617.310991
4.89,6,3617.339225
4.24,38,3617.479293
4.805,10,3617.51281
-5.395,20,3617.579181
4.825,9,3617.609327
4.365,32,3617.715509
4.09,46,3617.87925
4.89,6,3617.908928
-5.53,27,3618.009663
-5.315,16,3618.069705
4.515,25,3618.184959
-5.455,23,3618.266065
4.595,21,3618.348298
-5.35,18,3618.408653
4.54,23,3618.49535
-5.51,26,3618.583274
-5.53,27,3618.677967
-5.385,20,3618.758159
-5.385,20,3618.832591
4.835,9,3618.86284
4.89,6,3618.88502
-5.41,21,3618.962066
-5.42,21,3619.036779
4.555,23,3619.114982
4.55,23,3619.193117
4.47,27,3619.291419
-6.45,73,3619.536573
4.275,37,3619.65976
4.43,29,3619.774243
4.875,7,3619.797607
4.385,31,3619.905325
4.81,10,3619.939735
4.38,31,3620.050894
-5.235,12,3620.092966
-6.34,67,3620.340032
-6.18,59,3620.550145
-6.34,67,3620.79691
3.795,61,3621.01634
-5.47,24,3621.109089
3.845,58,3621.333825
4.45,28,3621.457394
-5.345,18,3621.521405
4.55,23,3621.60799
-5.45,23,3621.685614
4.605,20,3621.756714
4.0,50,3624.707872
3.85,58,3624.924428
-5.345,18,3624.986263
-5.405,21,3625.054936
4.04,48,3625.225021
-5.47,24,3625.306795
-5.505,26,3625.393567
-5.35,18,3625.455181
3.76,62,3625.672876
4.38,31,3625.795473
3.695,66,3626.039676
-5.47,24,3626.128551
-5.735,37,3626.267536
4.49,26,3626.362252
-6.47,74,3626.620144
-5.275,14,3626.665659
-5.69,35,3626.787453
3.8,60,3626.997313
-6.145,58,3627.240862
4.56,22,3627.323997
-5.26,13,3627.370205
3.815,60,3627.576127
-0.675,34,3627.687501
4.855,8,3627.71413
-6.58,79,3627.981568
4.895,6,3628.002874
-5.995,50,3628.182161
-6.475,74,3628.444421
4.49,26,3628.534017
-5.565,29,3628.637225
4.535,24,3628.72157
4.02,49,3628.885903
3.79,61,3629.096584
4.075,47,3629.255703
-5.76,38,3629.386832
4.605,20,3629.456119
3.91,55,3629.650774
-5.45,23,3629.734082
-5.405,21,3629.802506
4.385,31,3629.909576
4.01,50,3630.082774
-5.465,24,3630.162458
4.03,49,3630.324833
-5.655,33,3630.43761
-5.42,21,3630.507893
-5.62,31,3630.610795
-5.435,22,3630.686832
-5.335,17,3630.742264
-5.44,22,3630.816424
-5.63,32,3630.92571
3.925,54,3631.121009
4.225,39,3631.270211
-5.38,19,3631.33746
-6.02,51,3631.531126
-6.54,77,3631.835905
-5.275,14,3634.640195
4.12,44,3634.794071
4.11,45,3634.953301
-5.565,29,3635.058733
4.53,24,3635.142274
-5.435,22,3635.218056
4.87,7,3635.246484
4.375,32,3635.359468
-5.265,14,3635.406945
-5.485,25,3635.499485
4.24,38,3635.64106
4.845,8,3635.673387
-5.755,38,3635.8186
-5.515,26,3635.916832
-5.435,22,3635.991338
-5.54,27,3636.101324
-6.25,63,3636.345267
-5.61,31,3636.489031
4.865,7,3636.547871
-6.445,73,3636.908561
4.87,7,3636.933895
4.33,34,3637.04856
4.63,19,3636.577451
-5.46,23,3636.657156
-6.39,70,3636.898381
3.785,61,3637.103086
4.38,31,3637.222554
-5.29,15,3637.274839
3.9,55,3637.462725
-5.575,29,3637.56496
4.57,22,3637.638989
3.93,54,3637.828446
4.515,25,3637.92096
-5.31,16,3637.977998
-5.755,38,3638.12138
-5.595,30,3638.244188
-5.515,26,3638.350653
4.62,19,3638.419787
4.415,30,3638.526162
3.95,53,3638.713162
4.845,8,3638.743646
-5.77,39,3638.874488
-5.285,15,3638.924188
-5.52,26,3639.018334
4.295,36,3639.144362
4.07,47,3639.299821
-5.365,19,3639.366255
-5.305,16,3639.42261
4.275,37,3639.544374
3.65,68,3639.782026
-5.365,19,3639.844046
4.83,9,3639.87494
4.855,8,3639.904722
4.605,20,3639.970746
-5.465,24,3640.054128
3.96,52,3640.232171
4.85,8,3640.262048
-5.325,17,3640.321759
4.11,45,3640.491332
-5.425,22,3640.569026
4.875,7,3640.593598
-5.16,8,3640.620361
4.345,33,3640.731594
4.565,22,3640.80907
4.88,6,3640.830811
3.755,63,3641.053185
3.85,58,3641.259501
-5.335,17,3641.320158
4.535,24,3641.402325
-5.335,17,3641.460489
4.355,33,3644.399506
-5.67,34,3644.520434
3.815,60,3644.732966
-5.405,21,3644.803947
4.55,23,3644.887676
-5.785,40,3645.04472
4.48,26,3645.13534
-5.285,15,3645.187258
4.245,38,3645.321443
-5.615,31,3645.437535
4.4,30,3645.54516
3.99,51,3645.744411
4.465,27,3645.845999
-5.6,30,3645.950266
4.215,40,3646.092021
4.53,24,3646.186543
-5.285,15,3646.240684
-6.665,84,3646.570823
-6.18,59,3646.785082
3.795,61,3647.002297
-5.19,10,3647.035714
4.395,31,3647.146839
-5.35,18,3647.210015
4.565,22,3647.294418
-6.27,64,3647.519292
-5.415,21,3647.593916
3.71,65,3647.820533
-5.235,12,3647.86298
4.86,7,3647.888397
4.61,20,3647.957198
3.77,62,3648.187695
4.53,24,3648.266385
-5.48,24,3648.352639
-5.355,18,3648.41703
3.575,72,3648.674876
3.845,58,3648.883564
4.445,28,3648.97883
4.36,32,3649.085666
-5.92,46,3649.243003
4.01,50,3649.417112
4.85,8,3649.444604
-5.215,11,3649.481225
-6.395,70,3649.737104
-6.29,65,3649.97057
4.36,32,3650.079449
4.465,27,3650.173137
4.68,16,3650.234626
-5.3,15,3650.284765
-5.36,18,3650.348438
4.125,44,3650.502245
-6.645,83,3650.797631
4.53,24,3650.882208
4.11,45,3651.030947
-5.44,22,3651.108704
-5.665,34,3651.22462
4.18,41,3651.362264
4.525,24,3651.447665
-5.35,18,3651.510925
4.705,15,3651.567953
4.365,32,3654.480943
-5.965,49,3654.797254
4.495,26,3654.902437
4.0,50,3655.099718
4.18,41,3655.248522
4.87,7,3655.274792
4.115,45,3655.468457
4.575,22,3655.548455
-6.315,66,3655.79482
-5.39,20,3655.867043
3.995,51,3656.05628
4.22,39,3656.239095
4.475,27,3656.339998
4.555,23,3656.42148
-6.415,71,3656.709643
4.865,7,3656.736054
3.95,53,3656.925735
3.68,66,3657.152701
4.33,34,3657.267033
3.815,60,3657.474603
-5.495,25,3657.5617
-5.695,35,3657.685607
4.14,43,3657.836082
-5.395,20,3657.90465
4.26,37,3658.035202
-5.625,32,3658.152418
-5.75,38,3658.287883
4.865,7,3658.313591
4.29,36,3658.440424
4.55,23,3658.516884
-5.18,9,3658.551454
-5.74,37,3658.677966
4.25,38,3658.822806
4.86,7,3658.850716
-5.625,32,3658.970585
4.135,44,3659.123556
4.415,30,3659.22775
3.97,52,3659.409154
4.87,7,3659.435133
-5.49,25,3659.533447
-6.31,66,3659.759259
4.45,28,3659.857029
-5.325,17,3659.913659
-5.595,30,3660.019693
-5.45,23,3660.098153
4.405,30,3660.203592
4.89,6,3660.226249
-5.89,45,3660.385856
-6.455,73,3660.640953
-5.27,14,3660.689147
4.525,24,3660.772192
4.385,31,3660.885268
4.4,30,3660.988379
3.835,59,3661.225286
4.03,49,3661.396019
4.63,19,3661.459319
-5.33,17,3661.516159
-5.365,19,3661.580878
4.33,34,3661.70705
4.425,29,3661.809907
4.365,32,3661.928261
4.86,7,3661.95587
4.565,22,3662.03689
-5.46,23,3664.881875
4.03,49,3665.058071
4.025,49,3665.239465
4.1,45,3665.403301
-5.345,18,3665.464547
-5.4,20,3665.537595
4.415,30,3665.645782
4.24,38,3665.791636
-5.545,28,3665.900536
-5.265,14,3665.956934
4.405,30,3666.078062
4.85,8,3666.105641
-5.53,27,3666.212977
-5.37,19,3666.28075
4.875,7,3666.304865
4.86,7,3666.330234
4.31,35,3666.449993
4.245,38,3666.586354
-5.26,13,3666.639655
4.375,32,3666.747911
-5.31,16,3666.806522
4.59,21,3666.87822
4.225,39,3667.011452
-5.355,18,3667.068386
-5.605,31,3667.169799
4.335,34,3667.309803
-5.47,24,3667.392743
4.47,27,3667.486336
-5.63,32,3667.604575
4.34,33,3667.741266
-5.375,19,3667.809536
-6.385,70,3668.046218
4.46,27,3668.158473
4.885,6,3668.179879
4.36,32,3668.286547
3.79,61,3668.497776
-5.87,44,3668.644791
-5.36,18,3668.706588
-5.62,31,3668.811324
4.365,32,3668.420955
-5.27,14,3668.473862
-5.42,21,3668.551442
-6.305,66,3668.795661
4.83,9,3668.826329
4.03,49,3668.998915
4.85,8,3669.026963
4.615,20,3669.101114
3.84,58,3669.30699
-5.47,24,3669.387907
4.36,32,3669.505068
-5.255,13,3669.552428
4.895,6,3669.573228
4.835,9,3669.605736
-5.29,15,3669.660068
4.855,8,3669.685922
4.275,37,3669.810497
4.425,29,3669.932303
-5.205,11,3669.976336
4.51,25,3670.061878
-5.32,16,3670.168238
4.445,28,3670.362543
4.88,6,3670.398304
4.85,8,3670.427423
4.62,19,3670.506244
4.885,6,3670.528541
3.725,64,3670.750923
3.655,68,3670.985563
4.61,20,3671.056648
-6.445,73,3671.304319
3.975,52,3671.490235
3.75,63,3671.710311
3.985,51,3674.644815
-5.315,16,3674.706476
-5.41,21,3674.782482
-5.285,15,3674.84654
-5.355,18,3674.919154
4.46,27,3675.02219
-5.27,14,3675.075886
-5.425,22,3675.158763
4.86,7,3675.184839
4.61,20,3675.258989
4.45,28,3675.37846
4.86,7,3675.411158
3.705,65,3675.664088
4.25,38,3675.827281
4.61,20,3675.902213
4.88,6,3675.929173
4.05,48,3676.11481
-5.285,15,3676.172123
4.545,23,3676.260215
3.79,61,3676.490335
4.1,45,3676.660388
-5.285,15,3676.722351
4.165,42,3676.878359
-5.215,11,3676.926455
-5.585,30,3677.021842
3.65,68,3677.259014
-6.575,79,3677.532492
3.87,57,3677.730628
4.395,31,3677.837339
-6.365,69,3678.082108
4.525,24,3678.16822
-5.63,32,3678.276214
-5.2,10,3678.316387
-5.495,25,3678.410197
-5.405,21,3678.488997
-5.24,12,3678.534006
4.42,29,3678.635784
-5.465,24,3678.720895
4.32,34,3678.840381
-5.57,29,3678.946524
-5.59,30,3679.066375
4.105,45,3679.22765
3.82,59,3679.440728
-5.485,25,3679.526463
-5.305,16,3679.582188
3.56,72,3679.840072
3.85,58,3680.05484
-5.43,22,3680.135223
-5.365,19,3680.198325
4.865,7,3680.222664
3.93,54,3680.410648
4.405,30,3680.510863
-5.495,25,3680.598702
-5.34,17,3680.662884
-5.55,28,3680.755062
-5.79,40,3680.894527
4.855,8,3680.920873
4.565,22,3680.998929
-5.455,23,3681.080884
-5.47,24,3681.163217
4.1,45,3681.326231
-6.225,62,3681.539719
-6.45,73,3681.78711
4.61,20,3681.857139
-5.72,36,3681.983838
3.67,67,3685.274155
-5.385,20,3685.346929
4.275,37,3685.483973
-5.685,35,3685.607017
4.86,7,3685.633987
4.625,19,3685.699946
4.28,36,3685.827939
3.765,62,3686.07279
4.875,7,3686.098513
-5.27,14,3686.153349
-6.27,64,3686.379744
3.845,58,3686.57732
-5.475,24,3686.664482
-5.27,14,3686.717957
-5.175,9,3686.755792
4.56,22,3686.835841
4.57,22,3686.91014
-5.425,22,3686.983127
-5.625,32,3687.086505
-6.255,63,3687.294686
-6.3,65,3687.510796
-5.21,11,3687.546579
-5.45,23,3687.625306
4.41,30,3687.729505
4.235,39,3687.865322
-5.5,25,3687.948683
-5.21,11,3687.98728
-5.455,23,3688.090045
-5.61,31,3688.20174
-5.4,20,3688.283108
-5.22,11,3688.335537
-5.405,21,3688.414924
-5.41,21,3688.489753
-5.31,16,3688.545688
4.475,27,3688.643918
4.405,30,3688.755495
4.55,23,3688.835624
4.12,44,3688.993762
3.825,59,3689.208265
4.54,23,3689.29024
4.44,28,3689.389163
-5.36,18,3689.455606
-5.38,19,3689.528783
-5.31,16,3689.586314
4.06,47,3689.746258
-5.245,13,3689.790505
4.13,44,3689.938893
-5.41,21,3690.00966
-5.38,19,3690.076255
-5.5,25,3690.17106
-5.385,20,3690.240358
4.86,7,3690.266737
4.88,6,3690.289045
-5.235,12,3690.334782
4.145,43,3690.490392
4.305,35,3690.630906
4.47,27,3690.733374
4.815,10,3690.767608
3.905,55,3690.95698
-5.305,16,3691.013443
-6.325,67,3691.257476
3.96,52,3691.443049
4.615,20,3691.512567
4.845,8,3691.540999
3.83,59,3691.742827
4.3,35,3691.869117
4.49,26,3691.968215
4.38,31,3692.083554
4.85,8,3692.11222
4.58,21,3692.194727
4.825,9,3692.229675
4.525,24,3692.312167
4.53,24,3692.399747
4.295,36,3695.237183
-5.61,31,3695.357273
-5.725,37,3695.501535
-6.31,66,3695.743548
4.815,10,3695.779377
-5.49,25,3695.863367
3.985,51,3696.06401
-6.55,78,3696.341432
4.595,21,3696.416932
-5.85,43,3696.563312
-5.345,18,3696.625529
4.545,23,3696.706534
-5.485,25,3696.793638
-6.515,76,3697.075889
-6.495,75,3697.350872
-5.495,25,3697.439049
-6.175,59,3697.650028
-6.22,61,3697.862468
-5.43,22,3697.940115
4.4,30,3698.046121
-5.65,33,3698.166797
-5.44,22,3698.23905
4.855,8,3698.26722
3.87,57,3698.461466
-5.565,29,3698.568282
4.325,34,3698.692983
4.83,9,3698.729693
4.515,25,3698.81575
4.865,7,3698.844626
3.775,62,3699.056738
-5.48,24,3699.144607
-6.115,56,3699.349417
4.375,32,3699.455803
-6.265,64,3699.687704
-5.21,11,3699.737374
3.835,59,3699.952626
3.755,63,3700.172946
4.56,22,3700.247869
3.685,66,3700.473315
4.33,34,3700.080783
4.405,30,3700.188559
3.455,78,3700.444364
-5.72,36,3700.562247
-5.71,36,3700.696615
-5.535,27,3700.792808
-6.35,68,3701.022042
-5.315,16,3701.073677
3.97,52,3701.257671
4.87,7,3701.28172
4.41,30,3701.384935
3.74,63,3701.604273
4.895,6,3701.62464
-5.155,8,3701.655011
-5.26,13,3701.705055
4.23,39,3701.846246
4.84,8,3701.878221
3.785,61,3705.000848
-5.495,25,3705.085853
-5.545,28,3705.187143
-5.395,20,3705.265224
-5.4,20,3705.336146
4.44,28,3705.437458
4.39,31,3705.561853
3.79,61,3705.813919
4.84,8,3705.849185
4.835,9,3705.883465
